"","OUT","EXPO","Estimate","Std. Error","t value","Pr(>|t|)","AIC","BIC","Lower","Upper"
"49","Lan-Sem","age",-0.013550254614127,0.0147518785386598,-0.918544345292449,0.359097285621308,1574.65362302962,1604.20348014005,-0.0424634052542095,0.0153628960259555
"59","Lan-Sem","edu_co",0.27031893327042,0.0532760991060017,5.07392503968009,6.97070533702098e-07,1574.65362302962,1604.20348014005,0.16589969778587,0.374738168754969
"69","Lan-Sem","p1ex",0.0387830705303895,0.396155883395107,0.0978985095412786,0.922080512091774,1574.65362302962,1604.20348014005,-0.737668193187668,0.815234334248447
"79","Lan-Sem","dri_gr_2",-0.113111556101154,0.410683604774543,-0.275422624098299,0.783187703998663,1574.65362302962,1604.20348014005,-0.918036630500339,0.691813518298032
"210","Lan-Sem","score_chp_year",0.225804186268866,0.242655244536683,0.930555557123886,0.35285749260054,1574.02586813776,1603.57572524818,-0.249791353682792,0.701399726220523
"310","Lan-Sem","sex",-0.699459686660125,0.406053326354435,-1.72258085641092,0.0860304473270137,1574.02586813776,1603.57572524818,-1.49530958211751,0.0963902087972561
"410","Lan-Sem","age",-0.0128726988693642,0.0147374172182228,-0.87347047849383,0.383129392199618,1574.02586813776,1603.57572524818,-0.0417575058422213,0.0160121081034928
"510","Lan-Sem","edu_co",0.272580262924056,0.0531069485903473,5.13266663137938,5.2426584248512e-07,1574.02586813776,1603.57572524818,0.168492556358155,0.376667969489956
"610","Lan-Sem","p1ex",0.0122056076355747,0.395323749652843,0.0308749667741773,0.975390491709992,1574.02586813776,1603.57572524818,-0.762614703917326,0.787025919188476
"710","Lan-Sem","dri_gr_2",-0.133005840873409,0.409317525007225,-0.324945385299741,0.745456696643795,1574.02586813776,1603.57572524818,-0.935253448128643,0.669241766381825
"211","Lan-Sem","score_cyp_year",0.00887691405320149,0.00441047437966794,2.01268917786341,0.0450714640849492,1570.79139260737,1600.3412497178,0.000232543114315691,0.0175212849920873
"311","Lan-Sem","sex",-0.54118528566518,0.413069316027592,-1.3101561037495,0.191179818666771,1570.79139260737,1600.3412497178,-1.35078626819785,0.268415696867495
"411","Lan-Sem","age",-0.0118207751217375,0.0146684719295027,-0.805862749613502,0.420982285222877,1570.79139260737,1600.3412497178,-0.0405704518117996,0.0169289015683245
"511","Lan-Sem","edu_co",0.290775880672437,0.0536264816544755,5.42224422899781,1.24094436339307e-07,1570.79139260737,1600.3412497178,0.185669908012067,0.395881853332807
"611","Lan-Sem","p1ex",-0.0169832104577166,0.393469709303132,-0.0431626884005767,0.96560155109119,1570.79139260737,1600.3412497178,-0.7881696696993,0.754203248783866
"711","Lan-Sem","dri_gr_2",-0.145594278035039,0.407150689649683,-0.35759310185698,0.720907950709644,1570.79139260737,1600.3412497178,-0.943594966029063,0.652406409958985
